Date,Tdays,delta,d,tau_star,alpha_m,action,dtilde_tau,dexact_tau,exact_shortfall,prehit_max_violation,hit_err,lam,umax,N,seed_mode,seed_used,p_hat,se,ess,mean_weight,max_weight,hit_rate_Q,instanton_file
2007-01-03,20,0.2,0.2231435513142097,20,200.0,15.675938549546098,0.2231435513142097,0.2228428966904703,0.00030065462373940477,0.0,0.0,0.5,10.0,5000,per_query,1456016049,7.022613847646873e-09,2.4043663772570584e-09,41.77811380385801,0.8099152466754378,326.54916557013945,0.0022,instanton_2007-01-03_T20_delta0.20_tau20_am200.npz
2007-01-03,20,0.3,0.35667494393873245,20,200.0,33.60445106774637,0.35667494393873245,0.35646184731530095,0.00021309662343149682,0.0,0.0,0.5,10.0,5000,per_query,4197321030,0.0,0.0,63.514336865809604,0.9083469854679046,278.1741101216917,0.0,instanton_2007-01-03_T20_delta0.30_tau20_am200.npz
2007-01-03,60,0.2,0.2231435513142097,60,200.0,5.497549646143794,0.2231435513142097,0.2212455805473601,0.0018979707668496104,0.0,0.0,0.5,10.0,5000,per_query,155156259,0.000830000841949695,6.016384965003626e-05,141.47677114708705,1.089277499941445,293.0897421057391,0.06,instanton_2007-01-03_T60_delta0.20_tau60_am200.npz
2007-01-03,60,0.3,0.35667494393873245,60,200.0,11.470287722912692,0.35667494393873245,0.3551952447677307,0.0014796991710017693,0.0,0.0,0.5,10.0,5000,per_query,2324819662,1.3969848801516815e-06,2.5150311060318545e-07,89.71545166151776,0.9099755632057095,346.13673709162384,0.0108,instanton_2007-01-03_T60_delta0.30_tau60_am200.npz
2007-01-04,20,0.2,0.2231435513142097,20,200.0,16.22911531686316,0.2231435513142097,0.22266675314808992,0.0004767981661197851,0.0,0.0,0.5,10.0,5000,per_query,3491325078,4.939095881627849e-09,1.836555589054323e-09,90.4427325319887,0.7971377913665124,144.40066670080571,0.002,instanton_2007-01-04_T20_delta0.20_tau20_am200.npz
2007-01-04,20,0.3,0.35667494393873245,20,200.0,34.46513004778448,0.35667494393873245,0.35633275982645785,0.00034218411227460166,0.0,0.0,0.5,10.0,5000,per_query,2628630323,0.0,0.0,5.703696884803217,1.3124014790243825,2709.2448014868096,0.0,instanton_2007-01-04_T20_delta0.30_tau20_am200.npz
2007-01-04,60,0.2,0.2231435513142097,50,200.0,6.687995967958603,0.2231435513142097,0.2212046934792511,0.0019388578349586183,0.0,0.0,0.5,10.0,5000,per_query,1658583251,0.0008594411104533243,6.701246469219922e-05,439.46791779014166,0.9455291835624976,77.63473966974537,0.0776,instanton_2007-01-04_T60_delta0.20_tau50_am200.npz
2007-01-04,60,0.3,0.35667494393873245,55,200.0,12.734131635171288,0.35667494393873245,0.35471397811148897,0.001960965827243477,0.0,0.0,0.5,10.0,5000,per_query,2954446550,7.206269787616444e-07,1.529287913331238e-07,3.8090656447571654,1.558524850394987,3977.445213742486,0.0096,instanton_2007-01-04_T60_delta0.30_tau55_am200.npz
2007-01-05,20,0.2,0.2231435513142097,20,200.0,15.03049045968234,0.2231435513142097,0.22305263449821222,9.091681599748824e-05,0.0,0.0,0.5,10.0,5000,per_query,4081658546,2.2924793807827252e-08,6.461830333287413e-09,12.309002743009646,1.097226172797674,1411.4466375794755,0.0034,instanton_2007-01-05_T20_delta0.20_tau20_am200.npz
2007-01-05,20,0.3,0.35667494393873245,20,100.0,32.63892196632209,0.35667494393873245,0.35489476907086015,0.0017801748678722973,0.0,0.0,0.5,10.0,5000,per_query,1572230373,0.0,0.0,32.08215205373965,0.7334162634384203,468.3022129709159,0.0,instanton_2007-01-05_T20_delta0.30_tau20_am100.npz
2007-01-05,60,0.2,0.2231435513142097,60,200.0,5.306081983206165,0.2231435513142097,0.2225910059259153,0.000552545388294412,0.0,0.0,0.5,10.0,5000,per_query,4108883281,0.0009002334642115365,6.403328485510279e-05,234.83497054153798,1.024303962824125,243.9867568919528,0.0598,instanton_2007-01-05_T60_delta0.20_tau60_am200.npz
2007-01-05,60,0.3,0.35667494393873245,60,200.0,11.247733667014913,0.35667494393873245,0.3562679881823865,0.0004069557563459725,0.0,0.0,0.5,10.0,5000,per_query,4221392073,1.2385779909737977e-06,2.2189139362071716e-07,212.8567823426318,0.8099738269440386,108.07856788400183,0.0096,instanton_2007-01-05_T60_delta0.30_tau60_am200.npz
2007-01-08,20,0.2,0.2231435513142097,20,200.0,15.456094835226942,0.2231435513142097,0.22291346269089463,0.0002300886233150834,0.0,0.0,0.5,10.0,5000,per_query,649110971,1.2361044205857259e-08,4.199224152480421e-09,69.19141213147472,0.8263266178640811,314.4152545311173,0.0024,instanton_2007-01-08_T20_delta0.20_tau20_am200.npz
2007-01-08,20,0.3,0.35667494393873245,20,200.0,33.29390687126442,0.35667494393873245,0.3565128279843037,0.00016211595442872095,0.0,0.0,0.5,10.0,5000,per_query,3493511260,0.0,0.0,86.2096235599859,0.767826066485968,175.27434094830812,0.0,instanton_2007-01-08_T20_delta0.30_tau20_am200.npz
2007-01-08,60,0.2,0.2231435513142097,60,200.0,5.4341614451292575,0.2231435513142097,0.2216901884914444,0.001453362822765314,0.0,0.0,0.5,10.0,5000,per_query,3779143768,0.0009072634458452807,6.0290885411522116e-05,328.6794131290466,1.008132731611948,182.01089270730893,0.0636,instanton_2007-01-08_T60_delta0.20_tau60_am200.npz
2007-01-08,60,0.3,0.35667494393873245,60,200.0,11.37933244265198,0.35667494393873245,0.35557900780168783,0.0010959361370446175,0.0,0.0,0.5,10.0,5000,per_query,307924187,1.445642974331419e-06,2.717252783366717e-07,82.14426533010786,0.9612643263692585,252.38140064282962,0.0088,instanton_2007-01-08_T60_delta0.30_tau60_am200.npz
2007-01-09,20,0.2,0.2231435513142097,20,200.0,15.461818884205139,0.2231435513142097,0.22294942776417503,0.00019412355003467496,0.0,0.0,0.5,10.0,5000,per_query,185977586,2.6239178767238428e-08,9.730135728642444e-09,3.165849111275536,1.7867017780574672,4999.498503787279,0.003,instanton_2007-01-09_T20_delta0.20_tau20_am200.npz
2007-01-09,20,0.3,0.35667494393873245,20,200.0,33.36995292396604,0.35667494393873245,0.3565379038694312,0.0001370400693012641,0.0,0.0,0.5,10.0,5000,per_query,2920513341,0.0,0.0,30.375192892706742,0.873026322731309,641.4196525142123,0.0,instanton_2007-01-09_T20_delta0.30_tau20_am200.npz
2007-01-09,60,0.2,0.2231435513142097,60,200.0,5.437403550652918,0.2231435513142097,0.22198892968481765,0.0011546216293920608,0.0,0.0,0.5,10.0,5000,per_query,489988406,0.0010425740342347486,7.683092642396641e-05,522.7261383411943,0.9809550746979762,72.85039031526708,0.0662,instanton_2007-01-09_T60_delta0.20_tau60_am200.npz
2007-01-09,60,0.3,0.35667494393873245,60,200.0,11.400763963319184,0.35667494393873245,0.35574769637599424,0.0009272475627382093,0.0,0.0,0.5,10.0,5000,per_query,3807622510,1.0847635772984843e-06,1.9158257356471998e-07,54.091698097672435,0.909981819974519,394.8252403012157,0.0088,instanton_2007-01-09_T60_delta0.30_tau60_am200.npz
2007-01-10,20,0.2,0.2231435513142097,20,200.0,15.800956515290462,0.2231435513142097,0.222755816175483,0.00038773513872669696,0.0,0.0,0.5,10.0,5000,per_query,790359417,6.049406728201232e-09,2.3325732829757224e-09,18.942674575936294,0.9795194353484156,878.4471928283358,0.0016,instanton_2007-01-10_T20_delta0.20_tau20_am200.npz
2007-01-10,20,0.3,0.35667494393873245,20,200.0,33.746543178033335,0.35667494393873245,0.35640084708666464,0.00027409685206780665,0.0,0.0,0.5,10.0,5000,per_query,996194252,0.0,0.0,26.756736010640715,0.7146129672682325,621.9184399493809,0.0,instanton_2007-01-10_T20_delta0.30_tau20_am200.npz
2007-01-10,60,0.2,0.2231435513142097,54,200.0,6.080266579182837,0.2231435513142097,0.22126820383218337,0.001875347482026335,0.0,0.0,0.5,10.0,5000,per_query,908255503,0.0008540870848699182,6.0323656654585645e-05,272.3137087328343,1.0669317670546592,189.5009531538323,0.0694,instanton_2007-01-10_T60_delta0.20_tau54_am200.npz
2007-01-10,60,0.3,0.35667494393873245,60,200.0,11.508712572192097,0.35667494393873245,0.35474813963832297,0.0019268043004094793,0.0,0.0,0.5,10.0,5000,per_query,4204828745,9.35459947713041e-07,1.8851402109472013e-07,160.96881905235355,0.857547412793498,146.04892230095393,0.0074,instanton_2007-01-10_T60_delta0.30_tau60_am200.npz
2007-01-11,20,0.2,0.2231435513142097,20,200.0,16.209097499961633,0.2231435513142097,0.2221222188742189,0.0010213324399908075,0.0,0.0,0.5,10.0,5000,per_query,2962314935,4.702378531739727e-09,1.687502681011359e-09,18.78686551781786,1.0535651717651924,1024.949048734852,0.002,instanton_2007-01-11_T20_delta0.20_tau20_am200.npz
