Tdays,delta,metric,mean,q025,q500,q975,n_boot
20,0.2,mean_log_score,0.16716995570031673,0.13749290261527913,0.16520324697175776,0.2093489485835012,200
20,0.2,mean_brier,0.055312146969751515,0.04345828378500864,0.05463172692098872,0.07096796714916495,200
20,0.3,mean_log_score,0.09568337500185109,0.04736149030225992,0.09373511573669194,0.14545535976038632,200
20,0.3,mean_brier,0.027060902118062124,0.014706376671760743,0.026841988785616923,0.040419561953083286,200
60,0.2,mean_log_score,0.3562696364420762,0.2961227244337484,0.3567603371154642,0.4126374498051634,200
60,0.2,mean_brier,0.11479103651039263,0.09405672556147322,0.11495292525009529,0.13520038672330933,200
60,0.3,mean_log_score,0.2851718866323188,0.22338390000704492,0.28571660184549963,0.35667300866144347,200
60,0.3,mean_brier,0.09147126398351305,0.07070340129686693,0.09115437819162306,0.11425812679678922,200
