Tdays,delta,n_bins_nonempty,n_obs,ece,mce,rmsce
20,0.2,10,463,0.031159104933384467,0.25197632629952726,0.06699901828557768
20,0.3,8,463,0.031922471729287416,0.8379059335965255,0.12079915229714337
60,0.2,10,463,0.10432648650480118,0.30753423726792467,0.13285689027539077
60,0.3,10,463,0.09698570424648013,0.7262719825720065,0.15745059662534758
