Tdays,delta,n,mean_log_score,mean_brier
20,0.2,463,0.16943557791554198,0.05615267542561319
20,0.3,463,0.09435236277632435,0.026823347415351098
60,0.2,463,0.3553936478185303,0.11463662870720807
60,0.3,463,0.2855357260195397,0.0915827159164262
