scope,n_rows,n_positive_p,p_hat_mean,p_hat_median,p_hat_q10,p_hat_q90,se_mean,se_median,se_q10,se_q90,rel_se_mean,rel_se_median,rel_se_q10,rel_se_q90,ess_mean,ess_median,ess_q10,ess_q90,ess_frac_mean,ess_frac_median,ess_frac_q10,ess_frac_q90,mean_weight_mean,mean_weight_median,mean_weight_q10,mean_weight_q90,max_weight_mean,max_weight_median,max_weight_q10,max_weight_q90,weight_ratio_max_mean_mean,weight_ratio_max_mean_median,weight_ratio_max_mean_q10,weight_ratio_max_mean_q90,hit_rate_Q_mean,hit_rate_Q_median,hit_rate_Q_q10,hit_rate_Q_q90,Tdays,delta
overall,1852,1713,0.1363595245751826,0.00303833792855815,6.696868599546266e-09,0.5714177453521431,0.0011495226483408563,9.781650387549271e-05,0.0,0.0049633124498945315,0.11571666463884271,0.05080620429783673,0.010281147618068372,0.31254845128882447,1480.4363517112727,664.1964162630509,26.84063796726537,4636.979483138677,0.29608727034225446,0.13283928325261019,0.005368127593453074,0.9273958966277354,1.0011396374963053,0.9984663238586113,0.8488237431497158,1.0673920141967126,330.40041016851285,72.25441586832048,2.7158160957982838,677.3035152022928,258.2155559828769,74.15323369989807,2.7202529365892683,723.3323707563412,0.21097192224622033,0.0898,0.0018,0.6538600000000001,,
group,463,463,0.16891474593663486,0.0055888353345784,1.7689709760953583e-08,0.6692361594356149,0.001318365163593617,7.821634728885139e-05,2.3722197083400053e-09,0.0054102703105246,0.10706282298287546,0.04893157137898205,0.009294866810078217,0.30714257821463575,1734.9351664442145,852.1592979330948,28.23126618127835,4840.658271550452,0.34698703328884295,0.17043185958661894,0.00564625323625567,0.9681316543100904,0.9987261442109847,0.999782461787653,0.897502281755873,1.0734112675717375,241.67487482582223,56.07217988941364,1.9674668953592,730.7727098359574,221.22357521517043,54.780087946715625,1.9602300964489454,732.9874996701794,0.24064362850971924,0.1088,0.0028,0.7157600000000002,20.0,0.2
group,463,324,0.05447030361450646,5.445328225330268e-07,0.0,0.008470451294592621,0.00018539916977808291,2.99687754505562e-08,0.0,0.00019662275717606,0.18122459843679473,0.111153026416346,0.023911292646567904,0.3978530176021324,548.060606141924,86.02534972261203,17.175645036651716,1059.831348943054,0.1096121212283848,0.017205069944522408,0.003435129007330343,0.21196626978861083,0.997389267202346,0.977391740388202,0.7738566691746889,1.1370351875298792,603.9357650395842,258.2628058410795,39.39234155175049,1147.63304547002,457.4340632971279,294.6077071274272,40.60834751166692,1010.0778840183293,0.08100259179265656,0.007,0.0,0.12096,20.0,0.3
group,463,463,0.24624042356067927,0.0884624688794652,0.0011661203318059801,0.7840491054370344,0.002425210041582947,0.0016366897377059,6.761279844075302e-05,0.00608211177807428,0.06607796006971678,0.026431822694342123,0.007133438300604385,0.18449481876303137,2492.4659478032618,2506.8739342554327,91.51574620808545,4875.858662591389,0.49849318956065236,0.5013747868510865,0.01830314924161709,0.9751717325182777,1.0014610759662539,1.0,0.9587377629027323,1.0344783260974402,121.69506594735905,15.33644619815492,1.6917979798469218,301.84702838782334,104.50027833214283,15.09989226957046,1.688221108091974,340.9134407757616,0.36537278617710583,0.281,0.0768,0.8142800000000001,60.0,0.2
group,463,463,0.07581262518890979,0.0024213509634494,1.4325080997724569e-06,0.09984378409442851,0.0006691162184087786,8.792308415401784e-05,2.5444650631744194e-07,0.00203406310355728,0.12816780578718331,0.05830602559976412,0.025442985092868343,0.4046627638911634,1146.2836864556898,646.8434425922999,30.672518346231247,2682.1490381448025,0.22925673729113794,0.12936868851845998,0.006134503669246249,0.5364298076289605,1.0069820626056365,0.997389750471216,0.8672921008727645,1.0584398637840557,354.295934861286,70.41304335013238,12.14217333405211,541.8571789990538,249.7043070870665,73.19515818568537,12.091874058050513,636.487343772851,0.15686868250539956,0.0834,0.00984,0.29484,60.0,0.3
