Tdays,delta,n,mean_log_score,mean_brier
20,0.2,463,0.16943353023307686,0.05615162272477156
20,0.3,463,0.09436522793962687,0.02682338453520577
60,0.2,463,0.35527252946105303,0.11457698476226368
60,0.3,463,0.2856018236376732,0.09158212521909183
