Tdays,delta,n,mean_log_score_model,mean_brier_model,p_const,mean_log_score_baseline,mean_brier_baseline,log_score_improvement,brier_improvement
20,0.2,463,0.16943353023307686,0.05615162272477156,0.17494600431965443,0.4636427041592808,0.1443398998922419,0.29420917392620394,0.08818827716747035
20,0.3,463,0.09436522793962687,0.02682338453520577,0.08639308855291576,0.29411234587644347,0.07892932280320382,0.1997471179368166,0.052105938267998045
60,0.2,463,0.35527252946105303,0.11457698476226368,0.3002159827213823,0.6110471926998823,0.21008634644001695,0.25577466323882925,0.09550936167775327
60,0.3,463,0.2856018236376732,0.09158212521909183,0.17278617710583152,0.46027666179660587,0.14293111410698378,0.17467483815893264,0.05134898888789195
