Tdays,delta,n,mean_log_score_model,mean_brier_model,p_const,mean_log_score_baseline,mean_brier_baseline,log_score_improvement,brier_improvement
20,0.2,426,0.18414958802318696,0.061028641599927776,0.10328638497652583,0.33224447213764463,0.09261830765500673,0.14809488411445768,0.03158966605507895
20,0.3,443,0.09862550911067096,0.02803437255033922,0.045146726862302484,0.18396914429422048,0.04310849991592314,0.08534363518354952,0.015074127365583917
60,0.2,426,0.38612953319349913,0.1245285069129767,0.23943661971830985,0.5504296606550267,0.18210672485617932,0.1643001274615276,0.057578217943202614
60,0.3,443,0.29849581116077367,0.09571675841182735,0.13544018058690746,0.39659894704397647,0.1170961380694933,0.0981031358832028,0.021379379657665953
