Date,check,lhs_Tdays,lhs_delta,rhs_Tdays,rhs_delta,lhs_p_hat,rhs_p_hat,lhs_se,rhs_se,combined_se,diff_lhs_minus_rhs,z_diff,raw_violation,sigma_violation
2007-01-03,delta_monotone_T20,20,0.2,20,0.3,7.022613847646873e-09,0.0,2.4043663772570584e-09,0.0,2.4043663772570584e-09,7.022613847646873e-09,2.920775267061582,False,False
2007-01-03,delta_monotone_T60,60,0.2,60,0.3,0.0008300008419496,1.3969848801516815e-06,6.016384965003626e-05,2.5150311060318545e-07,6.016437532732149e-05,0.0008286038570694483,13.77233375334602,False,False
2007-01-03,horizon_monotone_d20,60,0.2,20,0.2,0.0008300008419496,7.022613847646873e-09,6.016384965003626e-05,2.4043663772570584e-09,6.0163849698079875e-05,0.0008299938193357524,13.795557024706842,False,False
2007-01-03,horizon_monotone_d30,60,0.3,20,0.3,1.3969848801516815e-06,0.0,2.5150311060318545e-07,0.0,2.5150311060318545e-07,1.3969848801516815e-06,5.554543149789527,False,False
2007-01-04,delta_monotone_T20,20,0.2,20,0.3,4.939095881627849e-09,0.0,1.836555589054323e-09,0.0,1.836555589054323e-09,4.939095881627849e-09,2.6893255565278493,False,False
2007-01-04,delta_monotone_T60,60,0.2,60,0.3,0.0008594411104533,7.206269787616444e-07,6.701246469219922e-05,1.529287913331238e-07,6.701263919096506e-05,0.0008587204834745384,12.81430628373632,False,False
2007-01-04,horizon_monotone_d20,60,0.2,20,0.2,0.0008594411104533,4.939095881627849e-09,6.701246469219922e-05,1.836555589054323e-09,6.70124647173657e-05,0.0008594361713574184,12.82501956885497,False,False
2007-01-04,horizon_monotone_d30,60,0.3,20,0.3,7.206269787616444e-07,0.0,1.529287913331238e-07,0.0,1.529287913331238e-07,7.206269787616444e-07,4.71217337480885,False,False
2007-01-05,delta_monotone_T20,20,0.2,20,0.3,2.292479380782725e-08,0.0,6.461830333287413e-09,0.0,6.461830333287413e-09,2.292479380782725e-08,3.547724503030152,False,False
2007-01-05,delta_monotone_T60,60,0.2,60,0.3,0.0009002334642115,1.2385779909737977e-06,6.403328485510279e-05,2.218913936207172e-07,6.403366930861685e-05,0.0008989948862205263,14.039409203425906,False,False
