bin_lo,bin_hi,count,p_mean,y_mean,Tdays,delta,y_wilson_lo,y_wilson_hi,abs_calib_gap,sq_calib_gap
0.0,0.1,319,0.008215427763416208,0.01567398119122257,20,0.2,0.006713088305989403,0.03616076956609282,0.007458553427806361,5.563001923544202e-05
0.1,0.2,28,0.14408044644605938,0.14285714285714285,20,0.2,0.05699005319749392,0.31489802163525293,0.0012233035889165356,1.4964716706560763e-06
0.2,0.30000000000000004,21,0.23899291649020474,0.14285714285714285,20,0.2,0.04981012499725268,0.34636060280620945,0.09613577363306189,0.009242086972027318
0.30000000000000004,0.4,18,0.3535726422798716,0.5555555555555556,20,0.2,0.33716415642042774,0.7544048187299437,0.20198291327568396,0.04079709725533247
0.4,0.5,14,0.4401142810503414,0.5714285714285714,20,0.2,0.3259064457965074,0.7861920109552588,0.13131429037823,0.017243442857538108
0.5,0.6000000000000001,11,0.5552446581475009,0.45454545454545453,20,0.2,0.21271271622459764,0.719908462590678,0.10069920360204637,0.01014032960608639
0.6000000000000001,0.7000000000000001,7,0.6558052715852847,0.42857142857142855,20,0.2,0.15821985525146975,0.7495416354723428,0.22723384301385613,0.05163521941084581
0.7000000000000001,0.8,3,0.7479115347989961,1.0,20,0.2,0.4385029682449546,1.0,0.2520884652010039,0.06354859428739776
0.8,0.9,5,0.8131463848978508,0.6,20,0.2,0.2307242812760128,0.882379225767352,0.21314638489785087,0.04543138139502279
0.9,1.0,0,,,20,0.2,,,,
0.0,0.1,429,0.00105537751865527,0.013986013986013986,20,0.3,0.006425260419529346,0.030173495309312466,0.012930636467358717,0.0001672013594509871
0.1,0.2,6,0.16209624960595265,1.0,20,0.3,0.6096657120978346,1.0,0.8379037503940474,0.7020826949244101
0.2,0.30000000000000004,2,0.2538091455377326,1.0,20,0.3,0.34238022750665303,1.0,0.7461908544622674,0.5568007912831288
0.30000000000000004,0.4,1,0.3005326154705813,1.0,20,0.3,0.20654931437723745,1.0,0.6994673845294187,0.4892546220204257
0.4,0.5,2,0.46871816700932434,1.0,20,0.3,0.34238022750665303,1.0,0.5312818329906757,0.2822603860659322
0.5,0.6000000000000001,0,,,20,0.3,,,,
0.6000000000000001,0.7000000000000001,2,0.6604584728073777,1.0,20,0.3,0.34238022750665303,1.0,0.3395415271926223,0.11528844868829828
0.7000000000000001,0.8,1,0.7279119341982094,1.0,20,0.3,0.20654931437723745,1.0,0.27208806580179057,0.07403191555175952
0.8,0.9,0,,,20,0.3,,,,
0.9,1.0,0,,,20,0.3,,,,
0.0,0.1,241,0.022555565146297557,0.07468879668049792,60,0.2,0.04776352170141906,0.1149599770581248,0.05213323153420037,0.0027178738301985436
0.1,0.2,56,0.13677945916327144,0.2857142857142857,60,0.2,0.18418775143858906,0.4147525071551667,0.14893482655101425,0.0221815825597807
0.2,0.30000000000000004,22,0.2488823132458531,0.5,60,0.2,0.3072210627372502,0.6927789372627497,0.2511176867541469,0.06306009260075386
0.30000000000000004,0.4,26,0.35364752470367306,0.15384615384615385,60,0.2,0.06150033723578355,0.3353119932821348,0.1998013708575192,0.03992058779654392
0.4,0.5,21,0.4498194665502665,0.14285714285714285,60,0.2,0.04981012499725268,0.34636060280620945,0.30696232369312365,0.09422586816708202
0.5,0.6000000000000001,23,0.5562824286604144,0.6956521739130435,60,0.2,0.49134243731240795,0.8439597554678597,0.13936974525262902,0.01942392589178271
0.6000000000000001,0.7000000000000001,15,0.6429091839564591,0.8,60,0.2,0.5481455128483065,0.9295245065301844,0.15709081604354092,0.024677524485225612
0.7000000000000001,0.8,13,0.7437734691234701,1.0,60,0.2,0.7719046276458016,0.9999999999999999,0.2562265308765299,0.06565203512502134
0.8,0.9,9,0.8544590163102441,1.0,60,0.2,0.7008549515804559,1.0,0.14554098368975588,0.021182177933381785
0.9,1.0,0,,,60,0.2,,,,
0.0,0.1,416,0.014256502022331077,0.08413461538461539,60,0.3,0.0611157449402136,0.11476364302711511,0.06987811336228432,0.004882950727072258
0.1,0.2,12,0.11876779780865547,0.8333333333333334,60,0.3,0.5519691377470266,0.9530348578161463,0.7145655355246779,0.5106039045596698
0.2,0.30000000000000004,1,0.274368709013802,1.0,60,0.3,0.20654931437723745,1.0,0.7256312909861979,0.5265407704582963
0.30000000000000004,0.4,3,0.35044432687825644,1.0,60,0.3,0.4385029682449546,1.0,0.6495556731217436,0.4219225724846414
0.4,0.5,5,0.43942486706798933,1.0,60,0.3,0.5655175352168251,1.0,0.5605751329320107,0.3142444796617414
0.5,0.6000000000000001,1,0.5109615073531524,1.0,60,0.3,0.20654931437723745,1.0,0.4890384926468476,0.23915864729030084
0.6000000000000001,0.7000000000000001,2,0.6524161054420472,1.0,60,0.3,0.34238022750665303,1.0,0.3475838945579528,0.12081456375607405
0.7000000000000001,0.8,2,0.790737484408121,1.0,60,0.3,0.34238022750665303,1.0,0.20926251559187903,0.043790800431841415
0.8,0.9,1,0.82523233542963,1.0,60,0.3,0.20654931437723745,1.0,0.17476766457036996,0.030543736579381347
0.9,1.0,0,,,60,0.3,,,,
