Tdays,delta,n,mean_log_score,mean_brier
20,0.2,426,0.18414958802318696,0.061028641599927776
20,0.3,443,0.09862550911067096,0.02803437255033922
60,0.2,426,0.38612953319349913,0.1245285069129767
60,0.3,443,0.29849581116077367,0.09571675841182735
