scope,n_rows,n_positive_p,p_hat_mean,p_hat_median,p_hat_q10,p_hat_q90,se_mean,se_median,se_q10,se_q90,rel_se_mean,rel_se_median,rel_se_q10,rel_se_q90,ess_mean,ess_median,ess_q10,ess_q90,ess_frac_mean,ess_frac_median,ess_frac_q10,ess_frac_q90,mean_weight_mean,mean_weight_median,mean_weight_q10,mean_weight_q90,max_weight_mean,max_weight_median,max_weight_q10,max_weight_q90,weight_ratio_max_mean_mean,weight_ratio_max_mean_median,weight_ratio_max_mean_q10,weight_ratio_max_mean_q90,hit_rate_Q_mean,hit_rate_Q_median,hit_rate_Q_q10,hit_rate_Q_q90,Tdays,delta
overall,1738,1599,0.07971106991555706,0.0019093458076476998,4.607761367145266e-09,0.32084551790547494,0.0012249228680824315,0.00014616178301410002,1.8622526270705396e-09,0.00513650195186805,0.12396663322472644,0.05501559929390516,0.01538393251893045,0.3260370272307354,1249.5788972205273,530.5606665230077,25.13762932423709,4018.6665812297542,0.24991577944410548,0.10611213330460155,0.005027525864847417,0.8037333162459508,1.0012143893228753,0.9967463018204266,0.8392988025132921,1.0726124355961677,352.00665111167194,88.5389167019782,4.647364992860051,709.8275308828953,275.087002117542,89.79505826487448,4.630462891469186,762.1301313812727,0.1592174913693901,0.07869999999999999,0.0014,0.48326,,
group,426,426,0.0967312849029623,0.0027587395920143504,1.6264472520856055e-08,0.38761848809015287,0.0014328710580841422,0.00015088314288670002,4.858693183780285e-09,0.005561058904851,0.11636170666918157,0.05470029858710191,0.014684480321602973,0.3148694300415138,1451.349723154158,709.5557796137219,26.472635554917467,4272.039090033599,0.2902699446308316,0.1419111559227444,0.0052945271109834935,0.8544078180067197,0.9986155041541923,0.9981122078193703,0.8913521746137141,1.0826891790500635,262.57856113698523,71.08036637716546,4.058922463280062,844.4382878730598,240.3509749404317,72.13015317335416,4.036593558544549,777.4875962923202,0.1746901408450704,0.086,0.0028,0.5214000000000001,20.0,0.2
group,443,304,0.011782732671594777,2.034946354184829e-07,0.0,0.004136460297757162,0.0001937693354565517,4.872596832086118e-08,0.0,0.00021550466476870006,0.1931472693865839,0.11835344639735965,0.04727837513299664,0.4056056689029178,347.07011431988894,80.63279045361537,15.796223106331285,823.341334517028,0.06941402286397778,0.016126558090723074,0.003159244621266257,0.1646682669034056,0.9972714011618199,0.9742912312593576,0.7711801612131353,1.153859092982814,631.1563413393399,278.82455803575215,58.373537139947466,1172.6618301035828,478.04056728345415,308.71178132447443,58.77450931823826,1032.227610871866,0.03951286681715575,0.0056,0.0,0.09836,20.0,0.3
group,426,426,0.18077304250843781,0.06825895416118885,0.00113322052127775,0.5852355849834312,0.0026358503503589306,0.0020948337380972,0.0001618068575017,0.00612060405069615,0.0718171256156781,0.02867626172975351,0.010694121405144141,0.20766184712541158,2274.675431532653,2246.9468060898184,74.56912033707664,4615.276445915469,0.4549350863065306,0.4493893612179637,0.014913824067415328,0.9230552891830937,1.001587976930459,1.0002250253539176,0.954192006238884,1.0361044017827963,132.17797073621415,17.863132107848195,2.8104979423472694,315.9443109264532,113.48973912624913,17.907195769701012,2.8150960399005607,359.14267080604054,0.3102525821596244,0.2563,0.0763,0.6726,60.0,0.2
group,443,443,0.03408859020872513,0.0017289956688821,1.3888051338511741e-06,0.07604068311908625,0.0006993246255604164,0.0001097645990535,3.806586754266514e-07,0.002095047181744901,0.13395416270759788,0.06180096085531441,0.027639835493298674,0.42021799908607393,972.3010086433055,601.2567055086024,27.791428065091953,2390.0842687171044,0.19446020172866108,0.12025134110172048,0.005558285613018391,0.4780168537434209,1.0072972798790287,0.9963880686239236,0.8592066814131305,1.0605225029048413,370.24608993403035,76.81751583282166,14.839950753808584,556.8135800167111,260.93249250860447,77.62981512651018,14.838401863395106,661.6056741835422,0.11880406320541761,0.0732,0.0096,0.263,60.0,0.3
