Tdays,delta,n,p_const,mean_log_score,mean_brier
20,0.2,463,0.17494600431965443,0.4636427041592808,0.1443398998922419
20,0.3,463,0.08639308855291576,0.29411234587644347,0.07892932280320382
60,0.2,463,0.3002159827213823,0.6110471926998823,0.21008634644001695
60,0.3,463,0.17278617710583152,0.46027666179660587,0.14293111410698378
