Tdays,delta,n,p_const,mean_log_score,mean_brier
20,0.2,426,0.10328638497652583,0.33224447213764463,0.09261830765500673
20,0.3,443,0.045146726862302484,0.18396914429422048,0.04310849991592314
60,0.2,426,0.23943661971830985,0.5504296606550267,0.18210672485617932
60,0.3,443,0.13544018058690746,0.39659894704397647,0.1170961380694933
