Tdays,delta,n_bins_nonempty,n_obs,ece,mce,rmsce
20,0.2,10,463,0.031159395799834753,0.2520884652010039,0.0670002176866512
20,0.3,8,463,0.03192278493840932,0.8379037503940474,0.12079838210692127
60,0.2,10,463,0.1042608483177272,0.30696232369312365,0.13277407359560406
60,0.3,10,463,0.09697355191692175,0.7256312909861979,0.16180006831649862
