Tdays,delta,metric,mean,q025,q500,q975,n_boot
20,0.2,mean_log_score,0.18815711560644396,0.0340248909307884,0.17485347694983674,0.41281927765531873,200
20,0.2,mean_brier,0.062295778808863125,0.006234818446042681,0.057345494126269575,0.1467182356084092,200
20,0.3,mean_log_score,0.06397529022622671,0.0001210972229597256,0.052972360172868244,0.25140701093767165,200
20,0.3,mean_brier,0.01742278661024946,4.042833245792251e-07,0.011379232899880194,0.06881821068118088,200
60,0.2,mean_log_score,0.3977905496163276,0.08958015483041942,0.3650398737077652,0.8612287185494867,200
60,0.2,mean_brier,0.12814656230316035,0.01941716806623697,0.11577044570033215,0.29502859043008917,200
60,0.3,mean_log_score,0.29340635495786993,0.006643250630224497,0.26052240398222853,0.8149704637622993,200
60,0.3,mean_brier,0.09352122635518686,0.00022517266353179517,0.08342545375309984,0.2636870379491794,200
