Tdays,delta,n_bins_nonempty,n_obs,ece,mce,rmsce
20,0.2,9,426,0.033865728298881445,0.2520884652010039,0.06984927612344917
20,0.3,7,443,0.0333639941907077,0.8379037503940474,0.12349510680574051
60,0.2,9,426,0.11331636800729504,0.30696232369312365,0.13842004173759945
60,0.3,9,443,0.10135159037818234,0.7256312909861979,0.16541212199544225
