metric,mean,q025,q500,q975,n_boot
mean_log_score,0.20400527364273202,0.024719600480716728,0.19596252207495737,0.41206356858041765,200
mean_brier,0.06515448261774205,0.004781263324871716,0.06172534298485498,0.13597522205042914,200
