Date,P,X,r,M,D,delta,V_proxy
2002-01-02,74.48297882080078,4.310570627077747,,4.310570627077747,0.0,0.0,
2002-01-03,75.32756042480469,4.321846076138689,0.011275449060941689,4.321846076138689,0.0,0.0,
2002-01-04,75.8304443359375,4.3284998523282425,0.00665377618955354,4.3284998523282425,0.0,0.0,
2002-01-07,75.29531860351562,4.321417962933186,-0.007081889395056606,4.3284998523282425,0.007081889395056606,0.0070568719082161335,
2002-01-08,75.12126159667969,4.319103629176976,-0.0023143337562094857,4.3284998523282425,0.009396223151266092,0.00935221658620422,
2002-01-09,74.5087890625,4.310917092420418,-0.00818653675655856,4.3284998523282425,0.017582759907824652,0.017429085178275017,
2002-01-10,74.83759307861328,4.315320339993651,0.00440324757323296,4.3284998523282425,0.013179512334591692,0.013093042853945636,
2002-01-11,74.1026382446289,4.305451135509386,-0.009869204484265204,4.3284998523282425,0.023048716818856896,0.02278512418645695,
2002-01-14,73.63845825195312,4.299167419860446,-0.006283715648939925,4.3284998523282425,0.02933243246779682,0.0289064122356133,
2002-01-15,74.23802185058594,4.307276442791405,0.008109022930959497,4.3284998523282425,0.021223409536837323,0.020999777850395973,
2002-01-16,72.73583984375,4.286834245783497,-0.020442197007907836,4.3284998523282425,0.04166560654474516,0.0408095260325525,
2002-01-17,73.28384399414062,4.294340175242013,0.007505929458515581,4.3284998523282425,0.03415967708622958,0.03358282236241561,
2002-01-18,72.9486083984375,4.289755198685918,-0.004584976556095022,4.3284998523282425,0.0387446536423246,0.03800367995647158,
2002-01-22,72.44576263427734,4.282838180296817,-0.006917018389100527,4.3284998523282425,0.04566167203142513,0.044634865736320806,
2002-01-23,73.00017547607422,4.290461844927341,0.007623664630523663,4.3284998523282425,0.038038007400901463,0.03732364863015725,
2002-01-24,73.22582244873047,4.2935481244531175,0.0030862795257764475,4.3284998523282425,0.034951727875125016,0.0343479707921559,
2002-01-25,73.20651245117188,4.29328438492204,-0.0002637395310776114,4.3284998523282425,0.03521546740620263,0.03460261782380292,
2002-01-28,73.40632629394531,4.296010121197194,0.002725736275154489,4.3284998523282425,0.03248973113104814,0.0319676096219752,
2002-01-29,71.09828186035156,4.264063171402609,-0.03194694979458568,4.3284998523282425,0.06443668092563382,0.06240451993953644,
2002-01-30,72.12338256835938,4.278378299181447,0.014315127778838033,4.3284998523282425,0.05012155314679578,0.0488861934021565,
2002-01-31,72.96794128417969,4.290020184198492,0.011641885017045439,4.3284998523282425,0.038479668129750344,0.0377487310911242,0.03144035655951891
2002-02-01,72.62625122070312,4.285326443535929,-0.004693740662562895,4.3284998523282425,0.04317340879231324,0.042254705788606906,0.03011603922802588
2002-02-04,70.82108306884766,4.26015673982928,-0.025169703706649393,4.3284998523282425,0.06834311249896263,0.0660600278813851,0.037540478941484004
2002-02-05,70.38265228271484,4.253946816359768,-0.006209923469511658,4.3284998523282425,0.07455303596847429,0.07184175301793405,0.03739444484186055
2002-02-06,70.07965087890625,4.24963246486496,-0.0043143514948082995,4.3284998523282425,0.07886738746328259,0.07583752815102296,0.03756148919173941
2002-02-07,69.64122009277344,4.243356634746133,-0.0062758301188265975,4.3284998523282425,0.08514321758210919,0.08161925328757247,0.037213309102874376
