Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume,LogAdjClose,LogReturn
2002-01-02,74.48297882080078,0.0,115.52999877929688,0.0,115.75,113.80999755859375,115.11000061035156,0.0,18651900,4.310570627077747,
2002-01-03,75.3275375366211,0.0,116.83999633789062,0.0,116.94999694824219,115.54000091552734,115.6500015258789,0.0,15743000,4.321845772289913,0.011275145212165327
2002-01-04,75.8304214477539,0.0,117.62000274658203,0.0,117.9800033569336,116.55000305175781,117.16999816894531,0.0,20140700,4.328499550494497,0.0066537782045843485
2002-01-07,75.29533386230469,0.0,116.79000091552734,0.0,117.98999786376953,116.55999755859375,117.69999694824219,0.0,13106500,4.321418165585725,-0.0070813849087718594
2002-01-08,75.12125396728516,0.0,116.5199966430664,0.0,117.05999755859375,115.97000122070312,116.79000091552734,0.0,12683700,4.319103527615917,-0.002314637969807798
2002-01-09,74.5087890625,0.0,115.56999969482422,0.0,117.77999877929688,115.33999633789062,116.68000030517578,0.0,16610300,4.310917092420418,-0.008186435195499442
2002-01-10,74.83759307861328,0.0,116.08000183105469,0.0,116.3499984741211,115.30000305175781,115.69000244140625,0.0,12823400,4.315320339993651,0.00440324757323296
2002-01-11,74.10263061523438,0.0,114.94000244140625,0.0,116.27999877929688,114.69999694824219,116.20999908447266,0.0,13708400,4.305451032552256,-0.009869307441395136
2002-01-14,73.63842010498047,0.0,114.22000122070312,0.0,114.83999633789062,113.95999908447266,114.6500015258789,0.0,12301100,4.299166901829739,-0.006284130722516323
2002-01-15,74.23799896240234,0.0,115.1500015258789,0.0,115.38999938964844,113.9000015258789,114.55000305175781,0.0,20219900,4.3072761344832555,0.008109232653516152
2002-01-16,72.73584747314453,0.0,112.81999969482422,0.0,114.4000015258789,112.69000244140625,114.30000305175781,0.0,17067000,4.286834350675311,-0.020441783807944702
2002-01-17,73.28382873535156,0.0,113.66999816894531,0.0,114.23999786376953,113.4000015258789,113.76000213623047,0.0,17283400,4.29433996702708,0.007505616351768829
2002-01-18,72.9486083984375,0.0,113.1500015258789,0.0,113.8499984741211,112.66999816894531,113.0,0.0,17028000,4.289755198685918,-0.004584768341161727
2002-01-22,72.44567108154297,0.0,112.37000274658203,0.0,113.93000030517578,112.0199966430664,113.75,0.0,11689300,4.282836916554276,-0.0069182821316422505
2002-01-23,73.00016021728516,0.0,113.2300033569336,0.0,113.55000305175781,112.0199966430664,112.62999725341797,0.0,12438900,4.290461635903314,0.007624719349037967
2002-01-24,73.22581481933594,0.0,113.58000183105469,0.0,114.25,113.31999969482422,113.63999938964844,0.0,12142800,4.293548020263165,0.003086384359851202
2002-01-25,73.2064437866211,0.0,113.55000305175781,0.0,114.18000030517578,113.04000091552734,113.12000274658203,0.0,12810700,4.293283446964737,-0.0002645732984278837
2002-01-28,73.4063491821289,0.0,113.86000061035156,0.0,114.19000244140625,112.91999816894531,113.9000015258789,0.0,10589200,4.296010432998386,0.0027269860336494034
2002-01-29,71.0982666015625,0.0,110.27999877929688,0.0,114.12999725341797,110.05000305175781,113.8499984741211,0.0,27720800,4.2640629567871455,-0.03194747621124083
2002-01-30,72.12340545654297,0.0,111.87000274658203,0.0,113.38999938964844,108.4000015258789,110.38999938964844,0.0,34711800,4.278378616529014,0.014315659741868103
2002-01-31,72.96791076660156,0.0,113.18000030517578,0.0,113.30000305175781,111.62000274658203,112.1500015258789,0.0,19909200,4.2900197659657175,0.011641149436703913
